City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
134,Vestmannaeyjar,IS,2022-05-23 02:35:55,63.4427,-20.2734,48.56,84,2,8.52,clear sky
135,Kokopo,PG,2022-05-23 02:35:55,-4.352,152.2633,85.91,53,36,4.9,scattered clouds
136,Gorin,RU,2022-05-23 02:35:56,51.1983,136.6669,56.03,50,100,5.28,overcast clouds
137,Don Sak,TH,2022-05-23 02:35:56,9.3168,99.6918,85.89,69,100,13.22,overcast clouds
138,Dong Hoi,VN,2022-05-23 02:35:56,17.4833,106.6,86.34,66,100,4.74,overcast clouds
139,Cape Town,ZA,2022-05-23 02:32:56,-33.9258,18.4232,61.38,87,0,8.05,clear sky
140,Te Anau,NZ,2022-05-23 02:35:57,-45.4167,167.7167,51.19,65,5,4.25,clear sky
141,Mareeba,AU,2022-05-23 02:36:57,-17.0,145.4333,78.48,76,43,4.0,scattered clouds
142,San Cristobal,VE,2022-05-23 02:36:58,7.7669,-72.225,71.78,85,7,2.84,clear sky
143,Khatanga,RU,2022-05-23 02:36:58,71.9667,102.5,34.74,69,100,11.52,overcast clouds
144,Kapaa,US,2022-05-23 02:36:59,22.0752,-159.319,82.38,81,100,12.66,overcast clouds
145,Lata,PT,2022-05-23 02:36:59,40.1629,-8.3327,63.81,96,100,3.4,overcast clouds
146,Lorengau,PG,2022-05-23 02:37:00,-2.0226,147.2712,86.04,63,98,13.53,overcast clouds
147,Ribeira Grande,PT,2022-05-23 02:37:00,38.5167,-28.7,64.09,93,100,4.36,overcast clouds
148,Sungai Besar,MY,2022-05-23 02:34:03,3.6746,100.9867,87.26,64,88,2.15,overcast clouds
149,Barrow,US,2022-05-23 02:37:01,71.2906,-156.7887,24.82,86,100,11.5,overcast clouds
150,Hasaki,JP,2022-05-23 02:37:01,35.7333,140.8333,70.29,76,83,11.56,broken clouds
151,Contai,IN,2022-05-23 02:37:01,21.7786,87.7536,90.68,53,82,9.22,broken clouds
152,El Copey,CO,2022-05-23 02:37:02,10.1503,-73.9614,77.85,75,7,3.29,clear sky
153,Mehamn,NO,2022-05-23 02:35:07,71.0357,27.8492,40.91,86,84,4.94,broken clouds
154,Hervey Bay,AU,2022-05-23 02:35:01,-25.2986,152.8535,73.02,74,100,5.01,overcast clouds
155,Pasighat,IN,2022-05-23 02:37:03,28.0667,95.3333,84.09,63,87,3.22,overcast clouds
156,Ocos,GT,2022-05-23 02:37:03,14.5094,-92.1933,80.78,75,27,1.16,scattered clouds
157,Mapiripan,CO,2022-05-23 02:37:04,2.8892,-72.1256,72.7,96,100,4.05,overcast clouds
158,Pangai,TO,2022-05-23 02:37:04,-19.8,-174.35,80.71,83,40,12.66,scattered clouds
159,Chake Chake,TZ,2022-05-23 02:37:05,-5.2459,39.7666,75.6,82,100,7.25,overcast clouds
160,San Borja,BO,2022-05-23 02:37:05,-14.8167,-66.85,65.17,98,43,2.06,scattered clouds
161,Boyolangu,ID,2022-05-23 02:37:06,-8.1181,111.8935,84.25,62,17,2.48,few clouds
162,Mount Gambier,AU,2022-05-23 02:36:31,-37.8333,140.7667,64.56,46,2,4.61,clear sky
163,Santiago Del Estero,AR,2022-05-23 02:37:06,-27.7951,-64.2615,59.65,57,2,8.84,clear sky
164,Berdigestyakh,RU,2022-05-23 02:37:07,62.0989,126.6992,57.81,37,7,7.56,clear sky
165,Cap Malheureux,MU,2022-05-23 02:37:07,-19.9842,57.6142,70.47,77,1,3.0,clear sky
166,Jinchang,CN,2022-05-23 02:37:07,38.4953,102.1739,73.09,32,0,8.43,clear sky
167,Fairbanks,US,2022-05-23 02:35:13,64.8378,-147.7164,65.61,27,0,13.8,clear sky
168,Carbonia,IT,2022-05-23 02:37:08,39.1672,8.5222,63.01,42,6,4.21,clear sky
169,Vila Franca Do Campo,PT,2022-05-23 02:37:08,37.7167,-25.4333,67.19,97,100,3.53,light rain
170,Jalingo,NG,2022-05-23 02:37:09,8.8833,11.3667,76.42,84,100,4.97,overcast clouds
171,Brae,GB,2022-05-23 02:37:09,60.3964,-1.353,50.07,98,100,9.15,moderate rain
172,Port Hedland,AU,2022-05-23 02:37:10,-20.3167,118.5667,84.25,74,75,9.22,broken clouds
173,Hovd,MN,2022-05-23 02:35:02,48.0056,91.6419,76.41,11,17,5.68,few clouds
174,Necochea,AR,2022-05-23 02:37:10,-38.5473,-58.7368,52.83,53,100,7.7,moderate rain
175,La Ronge,CA,2022-05-23 02:37:11,55.1001,-105.2842,62.85,17,75,6.91,broken clouds
176,Vao,NC,2022-05-23 02:37:11,-22.6667,167.4833,75.47,81,1,12.91,clear sky
177,Oyem,GA,2022-05-23 02:37:12,1.5995,11.5793,66.87,99,84,3.24,light rain
178,Balikpapan,ID,2022-05-23 02:37:12,-1.2675,116.8289,83.39,84,20,4.61,few clouds
179,Byron Bay,AU,2022-05-23 02:33:16,-28.65,153.6167,63.72,81,100,11.95,light rain
180,Eseka,CM,2022-05-23 02:37:13,3.65,10.7667,72.25,100,100,1.95,overcast clouds
181,Wattegama,LK,2022-05-23 02:37:13,6.7989,81.4808,84.97,58,25,6.29,scattered clouds
182,Butaritari,KI,2022-05-23 02:37:14,3.0707,172.7902,82.31,79,78,13.69,broken clouds
183,Chuy,UY,2022-05-23 02:37:14,-33.6971,-53.4616,51.37,82,26,6.22,scattered clouds
184,Huron,US,2022-05-23 02:37:15,41.1501,-82.5499,58.44,88,99,3.65,overcast clouds
185,Madang,PG,2022-05-23 02:38:15,-5.2246,145.7966,84.31,72,22,5.41,few clouds
186,Cairns,AU,2022-05-23 02:38:15,-16.9167,145.7667,83.1,71,100,11.5,overcast clouds
187,Mankono,CI,2022-05-23 02:38:16,8.0586,-6.1897,68.38,99,80,3.02,broken clouds
188,Arraial Do Cabo,BR,2022-05-23 02:38:16,-22.9661,-42.0278,70.59,73,9,14.34,clear sky
189,Honningsvag,NO,2022-05-23 02:38:17,70.9821,25.9704,42.55,75,8,12.66,clear sky
190,Taganak,PH,2022-05-23 02:38:17,6.0833,118.3,86.14,74,94,12.41,overcast clouds
191,Hambantota,LK,2022-05-23 02:38:17,6.1241,81.1185,82.74,94,20,11.5,few clouds
192,Cobourg,DE,2022-05-23 02:38:18,50.2667,10.9667,54.59,71,84,3.89,broken clouds
193,Pimentel,PE,2022-05-23 02:38:18,-6.8367,-79.9342,63.72,88,4,13.31,clear sky
194,Chifeng,CN,2022-05-23 02:38:19,42.2683,118.9636,83.91,22,48,0.69,scattered clouds
